name,latitude,longitude,country,population,is_capital,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,dt
Kamloops,50.6761,-120.341,CA,100046.0,False,2.0,205.28,0.0,1.0,85.83,0.17,0.5,0.63,1.03,1714124442.0
Ternate,0.7833,127.367,ID,204215.0,False,1.0,230.31,0.0,0.49,15.02,0.27,0.55,1.0,0.26,1714124443.0
Conception Bay South,47.5167,-52.9833,CA,26199.0,False,2.0,240.33,0.02,0.8,85.12,0.98,0.5,1.66,0.03,1714124444.0
Madalena,38.5356,-28.5234,PT,6049.0,False,3.0,208.62,0.02,0.48,117.3,0.5,2.03,7.41,0.0,1714124445.0
Buenaventura,3.8724,-77.0505,CO,252805.0,False,1.0,283.72,0.0,0.27,15.2,0.06,0.98,1.07,0.34,1714124446.0
Tshabong,-26.02,22.4056,BW,9679.0,False,2.0,270.37,0.08,0.36,50.78,0.25,14.21,41.04,0.0,1714124448.0
Coari,-4.085,-63.1414,BR,53305.0,False,1.0,173.57,0.02,0.42,1.16,0.21,0.72,0.72,0.0,1714124449.0
Aginskoye,51.1031,114.523,RU,11491.0,False,2.0,213.62,0.0,0.08,89.41,0.01,0.5,0.55,0.15,1714124450.0
Whangarei,-35.725,174.324,NZ,52600.0,False,1.0,208.62,0.0,0.4,35.41,0.08,0.92,2.31,0.48,1714124451.0
Noshiromachi,40.2122,140.027,JP,50842.0,False,3.0,270.37,0.0,3.86,128.75,1.1,9.68,10.13,1.41,1714124452.0
Hadibu,12.6519,54.0239,YE,11396.0,False,2.0,243.66,0.03,0.22,74.39,0.38,5.49,16.14,0.0,1714124453.0
Sorong,-0.8667,131.25,ID,272349.0,False,1.0,223.64,0.0,0.21,5.5,0.07,0.5,0.7,0.02,1714124455.0
Shimanovsk,52.0,127.667,RU,18643.0,False,2.0,220.3,0.02,0.47,95.84,0.36,0.5,0.51,0.02,1714124456.0
Byron Bay,-28.6483,153.618,AU,5521.0,False,1.0,223.64,0.0,0.85,50.78,0.35,1.0,3.08,0.12,1714124457.0
Las Tablas,7.7667,-80.2833,PA,9255.0,False,1.0,263.69,0.0,1.03,16.45,0.17,0.74,1.1,1.65,1714124458.0
Ishinari,33.3211,130.399,JP,16328.0,False,5.0,460.63,0.01,22.28,45.78,9.18,94.05,98.34,8.49,1714124459.0
Ciudad Lazaro Cardenas,17.9561,-102.192,MX,79200.0,False,2.0,921.25,0.18,25.71,10.55,24.08,18.19,26.36,0.14,1714124461.0
Biggleswade,52.0855,-0.2557,GB,16551.0,False,2.0,226.97,0.96,3.51,85.12,1.06,1.65,2.19,1.31,1714124462.0
Banda Aceh,5.55,95.3175,ID,235305.0,False,3.0,574.11,0.33,6.43,107.29,2.83,7.41,9.99,6.21,1714124463.0
Highland Park,40.5006,-74.4283,US,13711.0,False,2.0,433.92,0.25,40.1,11.36,0.87,11.12,15.41,1.06,1714124464.0
Guangshui,31.6189,113.823,CN,755910.0,False,5.0,540.73,0.07,4.46,165.94,14.19,120.32,129.53,8.11,1714124465.0
Freeland,43.5198,-84.1124,US,7125.0,False,2.0,290.39,0.0,7.28,58.65,0.54,13.97,14.8,0.73,1714124466.0
Lillehammer,61.1161,10.4578,NO,20580.0,False,2.0,223.64,0.5,2.51,68.67,0.13,0.69,0.86,0.55,1714124468.0
Karbala',32.6167,44.0333,IQ,690100.0,False,4.0,247.0,6.54,34.27,161.65,160.22,21.79,45.79,0.0,1714124469.0
Polyarnyy,69.1983,33.4561,RU,17605.0,False,1.0,233.65,0.2,1.91,50.78,0.98,0.52,0.64,0.0,1714124470.0
Tarawa,1.3382,173.018,KI,28802.0,True,1.0,208.62,0.0,0.09,14.84,0.13,1.65,4.27,0.0,1714124471.0
Rawson,-43.3,-65.1,AR,31787.0,False,1.0,220.3,0.0,0.38,38.62,0.08,0.5,1.26,0.14,1714124472.0
Al Wajh,26.2324,36.4636,SA,43237.0,False,4.0,211.95,0.19,1.23,130.18,1.83,37.07,105.56,0.0,1714124474.0
Florence,43.7714,11.2542,IT,382258.0,False,3.0,317.1,0.5,7.28,108.72,0.59,4.43,5.38,2.66,1714124475.0
Prince Rupert,54.3122,-130.327,CA,12220.0,False,1.0,211.95,0.0,3.21,39.7,0.66,0.5,0.57,0.01,1714124476.0
Ciudad Lazaro Cardenas,17.9561,-102.192,MX,79200.0,False,2.0,921.25,0.18,25.71,10.55,24.08,18.19,26.36,0.14,1714124477.0
San Pablo De Las Salinas,19.6656,-99.0917,MX,189453.0,False,3.0,507.36,0.0,19.54,35.76,13.35,27.12,37.73,14.95,1714124478.0
Benguela,-12.55,13.4167,AO,513000.0,False,2.0,500.68,0.12,1.17,95.84,2.47,21.63,38.17,4.62,1714124480.0
Karukh,34.4868,62.5918,AF,17484.0,False,2.0,175.24,0.01,0.08,70.1,0.04,3.74,8.6,0.24,1714124482.0
Espargos,16.7546,-22.9453,CV,6173.0,False,2.0,196.93,0.02,0.17,76.53,0.35,4.17,10.98,0.0,1714124483.0
Feodosiya,45.0489,35.3792,UA,67993.0,False,2.0,230.31,0.06,0.53,97.28,0.24,4.36,4.77,1.76,1714124484.0
Fort Wayne,41.0886,-85.1437,US,334122.0,False,2.0,253.68,0.0,4.37,75.82,0.72,4.43,5.62,1.65,1714124485.0
Traralgon,-38.1958,146.54,AU,25485.0,False,1.0,198.6,0.0,1.59,25.03,0.32,0.64,1.39,0.12,1714124486.0
Asau,-13.5196,-172.638,WS,,False,1.0,206.95,0.0,0.06,27.9,0.04,0.65,3.22,0.06,1714124488.0
Acapulco De Juarez,16.8636,-99.8825,MX,687608.0,False,2.0,243.66,0.0,2.06,19.49,0.32,12.56,16.02,1.98,1714124489.0
Rajapalaiyam,9.4204,77.58,IN,369991.0,False,2.0,277.04,0.07,0.92,98.71,1.91,13.36,15.86,1.44,1714124490.0
Agadez,16.9959,7.9828,NE,117770.0,False,4.0,206.95,0.03,0.13,77.96,0.08,36.52,165.75,0.19,1714124491.0
Ballina,-28.8333,153.533,AU,26381.0,False,1.0,220.3,0.0,1.06,42.56,0.41,0.97,2.55,0.19,1714124492.0
Ketchikan,55.3556,-131.67,US,10652.0,False,1.0,216.96,0.0,1.99,54.36,0.58,0.5,0.52,0.01,1714124494.0
East London,-33.0153,27.9116,ZA,338627.0,False,1.0,280.38,0.75,2.64,32.9,3.46,1.84,2.59,0.72,1714124495.0
Moyale,3.527,39.056,KE,24837.0,False,1.0,223.64,0.04,0.5,8.49,0.07,0.54,0.67,0.56,1714124496.0
Plover,44.4614,-89.5383,US,13099.0,False,2.0,240.33,0.0,2.16,94.41,0.89,8.62,9.46,0.73,1714124497.0
Ontario,34.0393,-117.606,US,185010.0,False,1.0,290.39,0.0,19.02,33.26,2.0,8.96,13.0,0.03,1714124499.0
Selkirk,50.1436,-96.8839,CA,10278.0,False,2.0,230.31,0.0,1.82,97.28,1.22,5.01,5.67,4.62,1714124500.0
Monroe,32.5183,-92.0774,US,112891.0,False,2.0,216.96,0.0,1.27,73.67,0.45,5.36,10.93,0.44,1714124501.0
Al Jawf,24.2167,23.3,LY,24132.0,False,5.0,200.27,0.05,0.27,110.15,0.13,41.35,258.28,0.12,1714124502.0
Taksimo,56.3315,114.89,RU,10359.0,False,2.0,226.97,0.01,0.16,91.55,0.01,0.5,0.5,0.05,1714124503.0
Tommot,58.9667,126.267,RU,6935.0,False,2.0,230.31,0.01,0.18,88.69,0.1,0.5,0.5,0.01,1714124505.0
Villa De Cura,10.0386,-67.4894,VE,145098.0,False,1.0,567.44,0.0,12.17,41.13,9.18,9.03,10.66,3.33,1714124506.0
Stonegate,39.5356,-104.803,US,9511.0,False,1.0,220.3,0.01,8.74,38.62,0.52,2.89,4.63,0.86,1714124507.0
Toliara,-23.35,43.6667,MG,115319.0,False,1.0,243.66,0.03,0.13,28.61,0.19,1.48,2.37,0.67,1714124508.0
Bandarbeyla,9.4833,50.8167,SO,13753.0,False,1.0,196.93,0.0,0.03,32.19,0.03,1.17,5.16,0.0,1714124509.0
Karabanovo,56.3089,38.7014,RU,14786.0,False,2.0,220.3,0.26,1.44,82.97,1.73,5.44,6.47,0.52,1714124510.0
Itoman,26.1236,127.666,JP,60546.0,False,1.0,211.95,0.01,2.19,46.49,1.15,4.0,12.3,0.16,1714124512.0
Vila Velha,3.2167,-51.2167,BR,1209091.0,False,1.0,198.6,0.0,0.02,5.99,0.01,1.0,1.35,0.01,1714124513.0
Huarmey,-10.0686,-78.1603,PE,16172.0,False,1.0,267.03,0.0,2.12,32.9,0.25,7.27,15.94,0.08,1714124514.0
Imbituba,-28.2296,-48.66,BR,43450.0,False,1.0,220.3,0.0,0.76,36.84,0.21,2.09,4.58,0.23,1714124515.0
Mahibadhoo,3.7571,72.9689,MV,,False,1.0,223.64,0.01,0.02,10.28,0.01,0.5,1.04,0.0,1714124516.0
Sioux Center,43.0748,-96.1707,US,7174.0,False,3.0,223.64,0.0,1.14,105.86,0.46,4.15,4.3,2.95,1714124518.0
Watertown Town,42.37,-71.1774,US,35939.0,False,1.0,413.9,0.31,32.9,14.13,1.58,7.92,10.25,0.53,1714124521.0
Las Palmas,28.1272,-15.4314,ES,379925.0,False,3.0,203.61,0.05,0.62,118.73,0.84,5.19,21.0,0.0,1714124522.0
Porto Novo,17.0208,-25.0667,CV,,False,2.0,193.6,0.03,0.28,71.53,0.19,1.83,5.6,0.06,1714124523.0
Matola,-25.9667,32.4667,MZ,1032197.0,False,1.0,403.88,0.09,1.61,41.49,1.68,4.88,8.66,3.9,1714124525.0
Hoa Binh,20.8172,105.338,VN,121309.0,False,5.0,687.6,0.06,3.13,178.81,4.47,75.18,83.93,9.37,1714124526.0
Nuuk,64.175,-51.7333,GL,18326.0,False,2.0,220.3,0.0,0.17,98.71,0.06,0.5,0.54,0.0,1714124527.0
Poronaysk,49.2167,143.1,RU,15311.0,False,3.0,273.71,0.0,0.52,111.58,0.83,7.15,7.89,0.79,1714124529.0
Guerrero Negro,27.9589,-114.056,MX,14316.0,False,2.0,208.62,0.0,0.41,90.12,0.47,1.46,4.35,0.0,1714124530.0
Sitka,57.2401,-135.315,US,6720.0,False,1.0,230.31,0.0,1.15,55.79,0.14,0.69,0.95,0.16,1714124531.0
Lethem,3.3833,-59.8,GY,3000.0,False,1.0,220.3,0.0,0.17,5.59,0.02,0.96,1.44,0.19,1714124532.0
Tulun,54.5667,100.567,RU,41640.0,False,2.0,236.99,0.01,0.06,67.23,0.02,0.5,0.5,0.06,1714124534.0
Hotan,37.1012,79.9327,CN,322300.0,False,3.0,188.59,0.23,1.44,135.9,1.09,8.49,29.45,2.31,1714124535.0
Las Palmas,28.1272,-15.4314,ES,379925.0,False,3.0,203.61,0.05,0.62,118.73,0.84,5.19,21.0,0.0,1714124522.0
Labrador City,52.95,-66.9167,CA,7220.0,False,2.0,236.99,0.0,0.06,74.39,0.02,0.5,0.5,0.0,1714124537.0
Smolensk,54.7828,32.0453,RU,329853.0,False,2.0,220.3,0.11,0.74,68.67,0.22,0.9,0.91,0.15,1714124538.0
Floro,61.5986,5.0172,NO,8925.0,False,2.0,233.65,0.23,1.32,85.12,0.72,0.5,0.53,0.49,1714124539.0
Zaraza,9.3394,-65.3167,VE,62027.0,False,3.0,520.71,0.0,3.64,24.32,0.34,32.82,37.2,1.25,1714124541.0
Chonchi,-42.6238,-73.7725,CL,5632.0,False,1.0,211.95,0.0,0.12,32.54,0.13,0.5,0.74,0.03,1714124542.0
Kununurra,-15.7736,128.739,AU,5308.0,False,1.0,223.64,0.0,0.09,22.89,0.04,2.84,8.34,0.07,1714124543.0
Chui,-33.6908,-53.4569,BR,5917.0,False,1.0,233.65,0.0,0.71,35.76,0.1,2.91,6.87,0.49,1714124544.0
San Julian,-49.3,-67.7167,AR,2347.0,False,1.0,210.29,0.0,0.1,31.83,0.01,0.63,4.43,0.19,1714124545.0
Tchibanga,-2.9331,10.9831,GA,19365.0,False,1.0,267.03,0.02,0.14,19.31,0.07,1.79,1.99,0.03,1714124546.0
Narvik,68.4363,17.3983,NO,14148.0,False,2.0,226.97,0.26,0.52,64.37,0.07,0.5,0.53,0.59,1714124548.0
Pingliang,35.5412,106.682,CN,2190000.0,False,3.0,236.99,0.14,8.23,111.58,7.45,14.0,24.83,10.89,1714124549.0
Taltal,-25.4,-70.47,CL,10018.0,False,2.0,243.66,0.0,0.92,50.78,2.21,16.69,32.03,0.0,1714124550.0
Pyapon,16.2853,95.6786,MM,76741.0,False,3.0,353.81,0.04,0.64,107.29,2.27,26.45,33.6,1.46,1714124551.0
Alamosa,37.4751,-105.877,US,10652.0,False,2.0,180.24,0.0,1.91,65.09,0.16,1.94,3.35,2.98,1714124553.0
Riviere-Du-Loup,47.8333,-69.5333,CA,19447.0,False,2.0,243.66,0.0,2.23,67.23,0.95,0.5,0.55,0.24,1714124555.0
Mumbwa,-14.9796,27.07,ZM,19086.0,False,1.0,240.33,0.02,0.1,50.07,1.21,9.65,12.49,0.0,1714124556.0
Macau,22.203,113.545,MO,568700.0,False,1.0,317.1,0.75,29.13,22.89,18.12,8.36,14.35,1.82,1714124557.0
Sudzha,51.1907,35.2708,RU,5759.0,False,2.0,220.3,0.05,1.26,81.54,3.55,22.93,28.49,0.0,1714124558.0
Bayanhongor,46.1944,100.718,MN,26252.0,False,2.0,173.57,0.01,0.15,90.84,0.08,2.44,9.2,0.32,1714124559.0
Pegnitz,49.7564,11.545,DE,13244.0,False,3.0,220.3,0.35,2.46,110.15,0.64,3.96,4.43,2.79,1714124560.0
Colonia Del Sol,22.9125,-109.921,MX,64055.0,False,2.0,198.6,0.0,1.18,65.09,0.35,3.32,10.47,1.12,1714124562.0
Altay,47.8666,88.1166,CN,142000.0,False,2.0,201.94,0.11,0.46,97.28,0.27,0.97,1.94,4.75,1714124563.0
Vilyuchinsk,52.9333,158.4,RU,21973.0,False,2.0,203.61,0.0,0.7,62.23,0.31,0.5,0.55,0.03,1714124564.0
Nampula,-15.1167,39.2667,MZ,477900.0,False,1.0,267.03,0.04,0.16,43.27,0.34,2.06,5.65,0.73,1714124565.0
Sassandra,4.9504,-6.0833,CI,38411.0,False,1.0,337.12,0.05,0.39,22.35,0.09,1.35,2.12,0.3,1714124567.0
Nelson Bay,-32.715,152.151,AU,11820.0,False,1.0,216.96,0.0,0.9,44.7,0.19,0.9,2.47,0.3,1714124568.0
Manokwari,-0.8711,134.069,ID,74504.0,False,1.0,580.79,0.25,13.2,12.88,2.56,2.4,2.71,0.13,1714124569.0
Rampur,28.8154,79.025,IN,296418.0,False,4.0,300.41,0.36,3.9,164.51,9.66,24.49,39.31,5.19,1714124570.0
Pangkalpinang,-2.1,106.1,ID,125933.0,False,1.0,560.76,0.06,6.43,43.27,2.03,6.58,6.99,0.22,1714124571.0
Kerikeri,-35.2244,173.951,NZ,6960.0,False,1.0,203.61,0.0,0.5,30.04,0.06,0.81,1.71,0.34,1714124573.0
Fabens,31.5136,-106.152,US,5946.0,False,2.0,210.29,0.0,3.51,72.96,2.98,4.23,20.66,1.74,1714124574.0
Seogwipo,33.2497,126.56,KR,153861.0,False,2.0,373.84,0.26,41.47,36.48,1.71,13.24,14.03,5.13,1714124575.0
Cerklje Na Gorenjskem,46.2542,14.4886,SI,,False,2.0,300.41,3.07,8.74,62.94,0.88,11.55,16.44,9.12,1714124576.0
Mont-Laurier,46.55,-75.5,CA,13779.0,False,1.0,243.66,0.0,1.67,26.82,0.06,0.5,0.59,0.74,1714124577.0
Nar'yan-Mar,67.6378,53.0067,RU,24775.0,False,2.0,247.0,0.16,0.35,65.09,0.12,0.5,0.52,0.02,1714124579.0
Benghazi,32.1167,20.0667,LY,631555.0,False,3.0,310.42,3.19,14.05,124.45,1.12,3.74,12.3,0.33,1714124580.0
Caluula,11.967,50.75,SO,513.0,False,2.0,230.31,0.06,0.48,64.37,1.37,3.22,10.77,0.06,1714124581.0
Nouadhibou,20.95,-17.0333,MR,118000.0,False,1.0,310.42,0.14,1.11,50.78,0.57,5.91,8.27,0.09,1714124582.0
Tekeli,44.8333,78.8167,KZ,30707.0,False,2.0,193.6,0.02,0.08,88.69,0.09,0.5,1.34,0.21,1714124584.0
City Of Paranaque,14.4667,121.017,PH,665822.0,False,2.0,587.46,0.04,22.96,69.38,29.56,16.21,23.05,6.02,1714124585.0
Naifaru,5.4442,73.3662,MV,,False,1.0,208.62,0.01,0.01,12.52,0.01,0.5,0.72,0.0,1714124586.0
Gaspe,48.8333,-64.4833,CA,15163.0,False,2.0,240.33,0.0,0.31,84.4,0.23,0.5,0.5,0.0,1714124587.0
Balurghat,25.2167,88.7667,IN,153279.0,False,5.0,440.6,0.25,4.2,200.27,9.54,47.57,58.23,13.05,1714124589.0
Ghanzi,-21.7,21.65,BW,6306.0,False,1.0,253.68,0.02,0.08,48.64,0.75,7.92,13.21,0.0,1714124590.0
Karratha,-20.7364,116.846,AU,16708.0,False,2.0,236.99,0.0,0.21,25.03,0.38,9.02,36.22,0.07,1714124591.0
Alice Springs,-23.7,133.867,AU,23726.0,False,2.0,193.6,0.0,0.3,35.05,0.06,4.08,21.86,0.09,1714124592.0
Turinsk,58.0333,63.7,RU,17060.0,False,2.0,236.99,0.04,0.23,78.68,0.37,1.27,1.32,0.29,1714124593.0
Cruz Alta,-28.6386,-53.6064,BR,62821.0,False,1.0,380.52,0.0,3.56,22.71,0.23,9.97,11.07,1.06,1714124595.0
Tweed Heads,-28.1833,153.55,AU,8176.0,False,1.0,233.65,0.0,2.59,47.21,0.72,1.08,2.61,0.29,1714124596.0
San Javier,-35.5924,-71.7353,CL,29017.0,False,1.0,216.96,0.05,1.93,6.88,0.02,2.04,2.58,1.88,1714124597.0
Harstad,68.7989,16.5314,NO,21070.0,False,2.0,240.33,2.65,4.33,60.8,3.61,0.78,0.86,0.43,1714124598.0
Camabatela,-8.1896,15.37,AO,12837.0,False,1.0,236.99,0.02,0.09,19.13,0.06,0.61,1.08,0.1,1714124600.0
Puerto San Jose,13.9333,-90.8167,GT,23887.0,False,3.0,600.82,0.0,5.48,15.2,9.06,42.04,55.77,5.95,1714124601.0
Howard Springs,-12.4922,131.053,AU,5132.0,False,1.0,220.3,0.0,0.72,14.48,0.08,0.5,0.87,0.09,1714124602.0
Farafangana,-22.8166,47.8332,MG,24764.0,False,1.0,250.34,0.01,0.06,28.25,0.04,1.62,2.3,0.12,1714124603.0
Jayapura,-2.5333,140.717,ID,413283.0,False,1.0,208.62,0.0,0.15,9.12,0.13,0.71,0.82,0.0,1714124604.0
Kavieng,-2.5667,150.8,PG,19728.0,False,1.0,211.95,0.0,1.65,14.31,0.47,0.97,1.66,0.0,1714124606.0
Christchurch,-43.5309,172.637,NZ,377200.0,False,1.0,260.35,0.08,9.68,17.52,1.83,1.71,2.04,2.47,1714124607.0
Acarau,-2.8896,-40.12,BR,28389.0,False,1.0,353.81,0.0,0.65,32.9,0.1,1.65,2.61,0.16,1714124608.0
Portland,45.5372,-122.65,US,2074775.0,False,2.0,205.28,0.0,1.82,60.8,0.47,0.68,0.91,0.23,1714124609.0
Jumla,29.25,82.2167,NP,9073.0,False,2.0,175.24,0.01,0.07,95.84,0.34,5.62,8.73,0.73,1714124611.0
Mount Isa,-20.7333,139.5,AU,18588.0,False,1.0,216.96,0.0,0.26,35.05,3.7,2.93,11.61,0.22,1714124612.0
Brookings,44.3022,-96.7859,US,24887.0,False,3.0,220.3,0.0,0.91,105.86,0.85,3.85,3.94,1.87,1714124613.0
Lubango,-14.9167,13.5,AO,,False,1.0,260.35,0.04,0.2,52.21,0.34,5.28,6.79,0.59,1714124614.0
City Of Isabela,6.7,121.967,PH,112788.0,False,1.0,230.31,0.0,0.09,27.9,0.05,2.32,2.94,0.14,1714124615.0
Barcelos,-0.9736,-62.9269,BR,12584.0,False,1.0,135.18,0.05,0.3,0.22,0.21,0.5,0.51,0.0,1714124617.0
Palmerston North,-40.3549,175.609,NZ,80300.0,False,1.0,211.95,0.0,0.87,35.76,0.15,0.62,2.32,1.22,1714124618.0
Myski,53.7,87.8167,RU,41379.0,False,2.0,220.3,0.07,0.27,75.1,0.43,0.5,0.6,0.17,1714124619.0
Basco,20.4486,121.97,PH,,False,2.0,300.41,0.0,0.8,62.94,0.43,7.03,12.77,1.22,1714124620.0
Olinda,-8.0,-34.85,BR,921840.0,False,1.0,447.27,0.95,15.59,9.21,9.42,7.37,11.62,3.61,1714124621.0
Cobourg,43.9667,-78.1667,CA,19440.0,False,1.0,283.72,0.0,9.34,53.64,2.44,3.12,3.62,5.32,1714124623.0
Nadi,-17.8,177.417,FJ,42284.0,False,1.0,195.27,0.02,2.42,6.71,0.33,1.01,1.47,0.61,1714124624.0
Todos Santos,23.4486,-110.223,MX,6485.0,False,2.0,198.6,0.0,0.61,63.66,0.19,2.97,13.24,1.33,1714124625.0
Morozovsk,48.35,41.8333,RU,25198.0,False,3.0,196.93,0.04,0.33,105.86,0.23,3.55,4.66,0.67,1714124626.0
Ust'-Ilimsk,58.0,102.667,RU,81976.0,False,2.0,226.97,0.18,0.94,81.54,0.49,0.5,0.53,0.05,1714124627.0
Camiri,-20.05,-63.52,BO,27961.0,False,1.0,181.91,0.01,0.11,0.07,0.02,0.5,0.56,0.12,1714124629.0
Ghadamis,30.1333,9.5,LY,6623.0,False,4.0,208.62,0.15,0.53,85.83,0.17,38.8,183.54,0.2,1714124630.0
Smithers,54.7819,-127.168,CA,5351.0,False,1.0,220.3,0.0,2.79,54.36,0.19,0.5,0.59,0.28,1714124631.0
Freeport,40.6515,-73.585,US,42956.0,False,2.0,460.63,0.1,51.41,21.99,5.25,10.99,25.61,2.03,1714124632.0
El Calafate,-50.3395,-72.2649,AR,21132.0,False,1.0,210.29,0.0,0.04,40.41,0.02,0.5,0.56,0.04,1714124633.0
Box Elder,44.1121,-103.083,US,10228.0,False,1.0,203.61,0.0,2.91,33.62,0.05,1.06,1.37,2.47,1714124634.0
Corner Brook,48.9287,-57.926,CA,19806.0,False,2.0,233.65,0.0,0.19,72.96,0.13,0.5,0.78,0.02,1714124636.0
Ironwood,46.4522,-90.1505,US,6448.0,False,2.0,220.3,0.0,0.68,98.71,0.42,0.72,0.9,0.39,1714124637.0
Darlowo,54.4167,16.4167,PL,13943.0,False,2.0,257.02,0.4,3.73,79.39,2.03,8.63,9.36,1.12,1714124638.0
Ulaangom,49.9833,92.0667,MN,26319.0,False,3.0,208.62,0.02,0.08,100.14,0.09,0.5,0.74,0.29,1714124639.0
Lake Havasu City,34.5006,-114.311,US,56820.0,False,2.0,216.96,0.0,2.23,80.82,0.3,9.52,34.5,5.57,1714124641.0
Diapaga,12.077,1.796,BF,26013.0,False,1.0,400.54,0.04,0.25,40.05,0.3,6.9,10.7,0.5,1714124642.0
Wamba,2.1404,27.99,CD,146871.0,False,1.0,230.31,0.0,0.05,6.35,0.01,0.5,0.68,0.08,1714124643.0
Khorugh,37.4917,71.5575,TJ,28098.0,False,2.0,181.91,0.01,0.01,84.4,0.09,3.54,7.92,0.17,1714124644.0
Mariehamn,60.0986,19.9444,FI,11461.0,False,2.0,236.99,0.2,1.24,74.39,0.16,1.75,1.78,0.01,1714124646.0
Oneida,43.0769,-75.6621,US,20828.0,False,1.0,263.69,0.0,5.06,41.13,0.22,1.44,1.81,1.33,1714124647.0
Kumagaya,36.1472,139.389,JP,194959.0,False,2.0,303.75,0.0,26.73,87.26,12.28,12.76,17.03,3.86,1714124648.0
Pisco,-13.71,-76.2032,PE,109965.0,False,1.0,280.38,0.0,2.61,33.26,0.31,6.61,16.99,0.23,1714124649.0
Labytnangi,66.65,66.4,RU,26281.0,False,2.0,247.0,0.14,0.36,82.97,0.23,0.5,0.55,0.03,1714124651.0
`Ataq,14.55,46.8,YE,37315.0,False,3.0,180.24,0.02,0.11,72.24,0.3,21.25,88.83,0.0,1714124652.0
Weno,7.4458,151.85,FM,,False,1.0,190.26,0.0,0.01,14.31,0.1,2.17,4.91,0.0,1714124653.0
Achacachi,-16.0444,-68.685,BO,8857.0,False,1.0,185.25,0.0,0.23,5.36,0.1,3.4,3.96,0.42,1714124654.0
San Jose Del Guaviare,2.5653,-72.6386,CO,68878.0,False,1.0,233.65,0.01,0.3,1.7,0.01,0.5,0.51,0.45,1714124655.0
Ust'-Kut,56.8,105.833,RU,41689.0,False,2.0,226.97,1.1,5.74,72.96,2.8,0.5,0.56,0.06,1714124656.0
Hikone,35.2744,136.26,JP,113818.0,False,4.0,300.41,0.0,14.91,144.48,7.33,32.62,37.65,0.34,1714124658.0
Pombas,17.1503,-25.0201,CV,,False,2.0,193.6,0.03,0.28,71.53,0.19,1.83,5.6,0.06,1714124659.0
Mariestad,58.705,13.828,SE,14891.0,False,3.0,230.31,0.09,0.44,100.14,0.21,0.82,0.95,0.57,1714124660.0
Qarazhal,48.0253,70.7999,KZ,22170.0,False,2.0,226.97,0.03,0.12,85.12,0.07,0.5,0.61,0.18,1714124661.0
Sargodha,32.0836,72.6711,PK,602631.0,False,3.0,300.41,0.02,1.15,134.47,1.21,20.17,36.07,5.89,1714124662.0
Kerben,41.5,71.75,KG,14141.0,False,2.0,181.91,0.02,0.31,85.12,0.08,1.64,2.63,0.5,1714124664.0
Ankang,32.6877,109.023,CN,1100000.0,False,3.0,280.38,0.22,3.09,104.43,4.11,16.06,22.44,10.77,1714124665.0
Pulaski,37.0528,-80.7624,US,15407.0,False,2.0,233.65,0.0,1.44,70.1,0.85,4.77,6.3,0.35,1714124666.0
Tefe,-3.3684,-64.7205,BR,51437.0,False,1.0,140.19,0.19,0.12,0.03,0.18,0.5,0.51,0.02,1714124667.0
Taiynsha,53.8478,69.7639,KZ,12418.0,False,2.0,230.31,0.04,0.16,82.25,0.31,0.54,0.63,0.19,1714124669.0
Trinidad,-14.8333,-64.9,BO,101454.0,False,1.0,190.26,0.01,0.4,0.29,0.05,0.5,0.54,0.14,1714124670.0
Murzuq,25.9136,13.9336,LY,47324.0,False,5.0,198.6,0.09,0.39,110.15,0.2,34.71,202.22,0.18,1714124672.0
Groningen,53.2204,6.58,NL,216688.0,False,2.0,223.64,0.45,1.99,91.55,0.28,1.02,1.51,2.22,1714124673.0
